file,entropy,equal,ahp,critic,entropy_rank,equal_rank,ahp_rank,critic_rank
5_08_00_2025-06-07-08-03-05.081065.csv,0.9928561504498303,0.9929022082018928,0.9936920001174072,0.99258581136208,26.0,25.0,26.0,24.0
5_08_25_2025-06-07-08-27-26.358383.csv,0.9847072682089811,0.9758064516129032,0.9863664918924512,0.9782483118342226,59.0,75.0,59.0,73.0
5_09_10_2025-06-07-09-11-57.917576.csv,0.9952801184069481,0.99453125,0.9957749470598876,0.994633406189989,22.0,22.0,22.0,22.0
5_09_25_2025-06-07-09-26-03.793643.csv,0.9789317067371713,0.972,0.981294607781744,0.9735164830342602,80.0,84.0,80.0,82.0
5_18_35_2025-06-07-18-37-53.320749.csv,0.9880379624961575,0.9835164835164836,0.989371090247641,0.9845805516548122,46.0,51.0,45.0,50.0
6_02_15_2025-06-08-02-16-04.500051.csv,1.0,1.0,1.0,1.0,2.5,2.5,2.5,2.5
6_06_10_2025-06-08-06-12-03.515831.csv,0.9963428493822877,0.9948805460750854,0.9966988710325438,0.9952784562847916,18.0,21.0,18.0,20.0
6_07_55_2025-06-08-07-56-04.696810.csv,0.9965565383939475,0.9959807073954984,0.9969507894260987,0.9960354743145778,16.0,14.0,16.0,15.0
6_08_15_2025-06-08-08-17-54.132577.csv,0.9838297177018923,0.9802631578947368,0.9856686306281406,0.9808192772033423,63.0,63.0,63.0,64.0
6_08_20_2025-06-08-08-22-37.913468.csv,0.9899944030357439,0.9865591397849462,0.9911145031861649,0.9873290069351356,40.0,44.0,37.0,43.0
6_08_30_2025-06-08-08-32-40.298799.csv,0.9879221316938465,0.988,0.9893352748651632,0.9874650784094898,47.0,36.0,46.0,41.0
6_11_25_2025-06-08-11-27-24.860584.csv,0.99938029452873,0.9990196078431373,0.9994475310440079,0.9991185590416483,5.0,5.0,5.0,5.0
6_13_20_2025-06-08-13-21-06.179644.csv,0.9759038994984797,0.9798136645962733,0.9787774702393139,0.9774451956044925,86.0,66.0,85.0,74.0
6_14_15_2025-06-08-14-16-39.365804.csv,0.9957497782226731,0.9955516014234876,0.9961912534758721,0.9954883447315156,20.0,17.0,20.0,17.0
6_14_20_2025-06-08-14-21-04.977474.csv,0.9805886088005118,0.9829192546583851,0.9827999486364937,0.9813767967164001,76.0,54.0,77.0,61.0
6_15_15_2025-06-08-15-17-04.448601.csv,0.9842604885464059,0.9827586206896552,0.9860788809533567,0.9826172406243692,60.0,55.0,60.0,55.0
6_15_20_2025-06-08-15-21-22.938252.csv,0.997385829271135,0.9965397923875433,0.997628125882669,0.9967685902429182,9.0,9.0,9.0,9.0
6_15_50_2025-06-08-15-51-27.107002.csv,0.9978194509289484,0.9972627737226277,0.9980124378243407,0.9974120073889893,8.0,8.0,8.0,8.0
6_16_15_2025-06-08-16-16-13.382747.csv,0.9721519092084973,0.9655172413793104,0.9753117261686957,0.9666456484849598,91.0,91.0,92.0,93.0
6_16_30_2025-06-08-16-31-34.590784.csv,0.9860039365233697,0.9825174825174825,0.9875898203344756,0.9831372738237855,54.0,56.0,53.0,54.0
6_16_45_2025-06-08-16-46-20.356756.csv,0.9872398048039716,0.98224043715847,0.9886593379305609,0.9834365735344051,49.0,57.0,49.0,53.0
6_17_50_2025-06-08-17-52-57.416055.csv,0.9702185994028026,0.96875,0.9736791031137033,0.9680065599429737,94.0,89.0,93.0,90.0
6_18_15_2025-06-08-18-17-11.172133.csv,0.9965936878197446,0.996268656716418,0.996987220504831,0.9962380595381098,15.0,11.0,15.0,13.0
6_20_45_2025-06-08-20-47-01.541482.csv,0.9804079257193851,0.9799107142857143,0.9815155555957147,0.9797520077638917,78.0,65.0,79.0,68.0
